sample	notch60	hp_5Hz	ttm	lp35	thresh_2s_avg	thresh_2s_max	thresh	lock_count
1440	0.361877	0.12185	0.00814114	0.00605155	0.0023409	0.149294	0.149294	0
1507	0.362861	0.119616	0.0045553	0.00636429	0.00234727	0.149294	0.149294	0
1568	0.365058	0.116203	0.00197928	0.00646705	0.00235374	0.149294	0.149294	0
1603	0.370298	0.10981	0.000373187	0.00647168	0.00236021	0.149294	0.149294	0
1611	0.379828	0.0991917	2.61712e-05	0.00647352	0.00236668	0.149294	0.149294	0
1586	0.38793	0.0900422	0.000629049	0.00648867	0.00237317	0.149294	0.149294	0
1574	0.398095	0.0788709	0.00174565	0.00648129	0.00237965	0.149294	0.149294	0
1598	0.408767	0.0672689	0.00335355	0.00641619	0.00238607	0.149294	0.149294	0
1664	0.41885	0.0563416	0.00484293	0.00626823	0.00239234	0.149294	0.149294	0
1746	0.425458	0.048976	0.00572576	0.00600278	0.00239834	0.149294	0.149294	0
1818	0.429753	0.0439818	0.00606353	0.00562229	0.00240396	0.149294	0.149294	0
1841	0.429652	0.0434068	0.00580784	0.00507082	0.00240903	0.149294	0.149294	0
1813	0.427944	0.0444295	0.00515149	0.00434861	0.00241338	0.149294	0.149294	0
1740	0.423423	0.0482196	0.0037934	0.00372773	0.00241711	0.149294	0.149294	0
1660	0.418239	0.0526271	0.00216826	0.0033011	0.00242041	0.149294	0.149294	0
1601	0.411519	0.0584885	0.000995637	0.00304684	0.00242346	0.149294	0.149294	0
1592	0.406204	0.0628844	0.000255569	0.00292371	0.00242638	0.149294	0.149294	0
1632	0.403633	0.0645154	7.58191e-06	0.0028976	0.00242928	0.149294	0.149294	0
1683	0.401148	0.0660475	9.42051e-05	0.00290246	0.00243218	0.149294	0.149294	0
1707	0.397615	0.068587	0.000384591	0.002885	0.00243506	0.149294	0.149294	0
1698	0.396593	0.0685948	0.000605798	0.00280358	0.00243787	0.149294	0.149294	0
1637	0.392782	0.0713256	0.000779457	0.00261972	0.00244049	0.149294	0.149294	0
1559	0.388794	0.0741901	0.00088569	0.00233706	0.00244282	0.149294	0.149294	0
1502	0.385706	0.0761206	0.000778465	0.00198368	0.00244481	0.149294	0.149294	0
1494	0.384398	0.0762801	0.000559464	0.00159053	0.0024464	0.149294	0.149294	0
1535	0.384434	0.0751121	0.000276347	0.00119542	0.00244759	0.149294	0.149294	0
1612	0.387904	0.0705776	5.91858e-05	0.000831688	0.00244843	0.149294	0.149294	0
1691	0.394589	0.0629286	2.51773e-06	0.000560911	0.00244899	0.149294	0.149294	0
1734	0.401898	0.0547363	0.000127943	0.000415174	0.0024494	0.149294	0.149294	0
1738	0.410728	0.0450991	0.000551681	0.000383463	0.00244979	0.149294	0.149294	0
1716	0.419907	0.0352181	0.001114	0.000444779	0.00245023	0.149294	0.149294	0
1703	0.430039	0.0245051	0.00219216	0.00060082	0.00245083	0.149294	0.149294	0
1725	0.440232	0.0138701	0.0036385	0.000853984	0.00245169	0.149294	0.149294	0
1787	0.44916	0.00462899	0.00511105	0.00119159	0.00245288	0.149294	0.149294	0
1880	0.458064	0.00448632	0.00515434	0.00151648	0.00245439	0.149294	0.149294	0
1970	0.466169	0.0127184	0.00389298	0.00173888	0.00245613	0.149294	0.149294	0
2026	0.473476	0.0200982	0.00254817	0.00185763	0.00245799	0.149294	0.149294	0
2032	0.479578	0.0262594	0.00134464	0.00189807	0.00245989	0.149294	0.149294	0
2002	0.485406	0.0321291	0.000511086	0.00189461	0.00246178	0.149294	0.149294	0
1951	0.487616	0.0343766	0.000114973	0.00188309	0.00246367	0.149294	0.149294	0
1936	0.492222	0.0389641	1.40321e-05	0.00187986	0.00246555	0.149294	0.149294	0
1966	0.496869	0.043524	0.00036172	0.00190552	0.00246745	0.149294	0.149294	0
2036	0.501797	0.0482877	0.00118458	0.00198099	0.00246943	0.149294	0.149294	0
2122	0.507707	0.0539666	0.0024342	0.00211546	0.00247155	0.149294	0.149294	0
2183	0.512762	0.0587445	0.00294396	0.00224617	0.00247379	0.149294	0.149294	0
2198	0.517208	0.0628886	0.00251705	0.00226937	0.00247606	0.149294	0.149294	0
2167	0.52066	0.0660273	0.00210948	0.00216016	0.00247822	0.149294	0.149294	0
2113	0.52283	0.0678641	0.00173095	0.00191872	0.00248014	0.149294	0.149294	0
2077	0.525436	0.070121	0.00144339	0.00165365	0.0024818	0.149294	0.149294	0
2088	0.529326	0.073623	0.00154029	0.00148561	0.00248328	0.149294	0.149294	0
2136	0.531437	0.0753162	0.00132148	0.00139798	0.00248468	0.149294	0.149294	0
2208	0.533865	0.0772805	0.0011395	0.00138333	0.00248606	0.149294	0.149294	0
2270	0.536507	0.0794308	0.000969894	0.0014161	0.00248748	0.149294	0.149294	0
2285	0.537161	0.0795895	0.000656533	0.00145479	0.00248893	0.149294	0.149294	0
2257	0.53847	0.0804108	0.000469427	0.00148731	0.00249042	0.149294	0.149294	0
2197	0.53871	0.0801702	0.000298652	0.00148281	0.0024919	0.149294	0.149294	0
2138	0.537935	0.0789119	0.000166013	0.00141006	0.00249331	0.149294	0.149294	0
2114	0.537101	0.0776126	9.50348e-05	0.00124297	0.00249456	0.149294	0.149294	0
2140	0.537126	0.0771508	4.94181e-05	0.00103622	0.00249559	0.149294	0.149294	0
2198	0.537026	0.0765494	8.5637e-06	0.000857042	0.00249645	0.149294	0.149294	0
2262	0.538145	0.0771613	3.40425e-06	0.000706608	0.00249716	0.149294	0.149294	0
2299	0.540208	0.07871	2.04372e-06	0.000583115	0.00249774	0.149294	0.149294	0
2285	0.541131	0.0791426	8.30869e-08	0.000480022	0.00249822	0.149294	0.149294	0
2236	0.542486	0.0800131	1.79471e-07	0.000370014	0.00249859	0.149294	0.149294	0
2170	0.541517	0.0785812	3.34763e-06	0.000275862	0.00249887	0.149294	0.149294	0
2142	0.543429	0.0799886	3.29625e-08	0.000194472	0.00249906	0.149294	0.149294	0
2148	0.542511	0.0785547	1.27557e-07	0.000125203	0.00249919	0.149294	0.149294	0
2201	0.543275	0.0787778	1.35765e-06	7.84046e-05	0.00249926	0.149294	0.149294	0
2266	0.543727	0.0786822	2.34516e-06	4.50417e-05	0.00249931	0.149294	0.149294	0
2308	0.5437	0.0781225	2.47469e-06	2.38861e-05	0.00249933	0.149294	0.149294	0
2304	0.543178	0.0770959	4.27147e-09	1.20284e-05	0.00249934	0.149294	0.149294	0
2254	0.541953	0.0754149	1.08578e-05	6.01574e-06	0.00249935	0.149294	0.149294	0
2196	0.543284	0.0762925	8.12316e-06	3.0661e-06	0.00249935	0.149294	0.149294	0
2150	0.543602	0.0761725	1.47506e-05	3.50803e-06	0.00249936	0.149294	0.149294	0
2153	0.54566	0.0777938	6.19916e-07	3.30915e-06	0.00249936	0.149294	0.149294	0
2198	0.546998	0.0786985	1.66431e-06	3.28204e-06	0.00249936	0.149294	0.149294	0
2268	0.548712	0.0800068	2.10847e-06	3.42672e-06	0.00249937	0.149294	0.149294	0
2327	0.550336	0.0812598	6.16031e-06	3.85392e-06	0.00249937	0.149294	0.149294	0
2339	0.550078	0.0806721	3.95959e-06	3.89763e-06	0.00249937	0.149294	0.149294	0
2310	0.551148	0.0814548	1.11041e-05	4.68843e-06	0.00249938	0.149294	0.149294	0
2245	0.550366	0.0804162	1.10242e-05	5.46676e-06	0.00249938	0.149294	0.149294	0
2184	0.549391	0.0791932	1.42754e-05	6.38946e-06	0.00249939	0.149294	0.149294	0
2163	0.549441	0.0789668	7.1521e-06	6.73281e-06	0.0024994	0.149294	0.149294	0
2192	0.550091	0.0793019	9.7931e-06	7.25555e-06	0.00249941	0.149294	0.149294	0
2256	0.551128	0.0799753	4.75894e-06	7.59517e-06	0.00249941	0.149294	0.149294	0
2322	0.55238	0.0808212	4.50573e-06	7.14145e-06	0.00249942	0.149294	0.149294	0
2354	0.553123	0.0811141	1.22613e-06	6.64881e-06	0.00249943	0.149294	0.149294	0
2341	0.554503	0.0819816	5.20927e-07	5.6324e-06	0.00249943	0.149294	0.149294	0
2292	0.556217	0.0831019	5.90428e-06	6.00985e-06	0.00249944	0.149294	0.149294	0
2236	0.55792	0.0840417	6.69175e-06	6.36896e-06	0.00249944	0.149294	0.149294	0
